jmeno_obce,kod_obce,volici_v_seznamu,vydane_obalky,platne_hlasy,kandidujici_strany
Èavisov,569119,419,318,316,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Dolní Lhota,506711,1202,904,899,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Horní Lhota,569500,691,481,474,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Klimkovice,599549,3652,2453,2434,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Olbramice,554049,545,368,356,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Ostrava,554821,237254,125244,124258,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Stará Ves nad Ondøejnicí,598739,2235,1499,1486,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Šenov,598798,5137,3357,3338,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Václavovice,598836,1578,1149,1145,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Velká Polom,510882,1565,1107,1098,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Vratimov,598879,5847,3559,3532,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Vøesina,500291,2362,1617,1606,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
Zbyslavice,568449,503,342,341,"['Obèanská demokratická strana', 'Øád národa - Vlastenecká unie', 'CESTA ODPOVÌDNÉ SPOLEÈNOSTI', 'Èeská str.sociálnì demokrat.', 'Radostné Èesko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Èech a Moravy', 'Strana zelenıch', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodnıch obèanù', 'Blok proti islam.-Obran.domova', 'Obèanská demokratická aliance', 'Èeská pirátská strana', 'Èeská národní fronta', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Èsl. M.Sládka', 'Køes.demokr.unie-Ès.str.lid.', 'Èeská strana národnì sociální', 'REALISTÉ', 'SPORTOVCI', 'Dìlnic.str.sociální spravedl.', 'Svob.a pø.dem.-T.Okamura (SPD)', 'Strana Práv Obèanù']"
